"Creative Commons Licence by attribution (https://creativecommons.org/licenses/by/4.0/). Climate Change Initiative - European Space Agency, These data were produced by the University of Reading as part of the ESA CCI project. (https://surftemp.net)"
"Time series of 5-day sea surface_temperature averaged across ocean surface within latitudes 38.00 and 40.00 and longitudes 2.00 and 4.00, in kelvin and degree Celsius. "
year,month,day,mean temperature kelvin,mean temperature deg C,mean temperature uncertainty,fraction of sea-ice-covered ocean
1980,1,3,288.57651,15.426509550998219,0.52745,0.00000
1980,1,8,288.33165,15.181648689331723,0.52745,0.00000
1980,1,13,288.11448,14.964479488879647,0.52745,0.00000
1980,1,18,287.89632,14.746317022928963,0.51376,0.00000
1980,1,23,287.00935,13.859353022649202,0.31671,0.00000
1980,1,28,287.15733,14.007329081638318,0.35555,0.00000
1980,2,3,286.95637,13.806369724471551,0.31665,0.00000
1980,2,8,287.09153,13.941531742967868,0.32729,0.00000
1980,2,13,287.09459,13.944594921386283,0.37698,0.00000
1980,2,18,287.16171,14.011712369056909,0.44991,0.00000
1980,2,23,287.19989,14.04988727016655,0.52745,0.00000
1980,2,27,287.26842,14.118421998765143,0.51016,0.00000
1980,3,3,287.40731,14.257312232091977,0.68575,0.00000
1980,3,8,287.14594,13.99594196473845,0.44679,0.00000
1980,3,13,287.19294,14.04294453404475,0.52070,0.00000
1980,3,18,287.37541,14.225409436645919,0.76661,0.00000
1980,3,23,287.02921,13.879209279451288,0.35759,0.00000
1980,3,28,287.30068,14.150675801880425,0.57969,0.00000
1980,4,3,287.45262,14.302621388518617,0.53673,0.00000
1980,4,8,287.36680,14.2167975220612,0.36072,0.00000
1980,4,13,287.67756,14.527563236270453,0.64834,0.00000
1980,4,18,288.07664,14.926639488340697,0.39084,0.00000
1980,4,23,288.29913,15.149132705412853,0.35865,0.00000
1980,4,28,288.54861,15.398613451387632,0.42850,0.00000
1980,5,3,288.94112,15.791123407494467,0.43432,0.00000
1980,5,8,289.56184,16.411837588635308,0.59793,0.00000
1980,5,13,290.23130,17.081303032921596,0.59365,0.00000
1980,5,18,290.46951,17.319512750730496,0.44498,0.00000
1980,5,23,290.93538,17.78538337531586,0.48853,0.00000
1980,5,28,291.42327,18.27327102378655,0.57556,0.00000
1980,6,3,292.33625,19.18624700254503,0.61548,0.00000
1980,6,8,293.19129,20.041292330044996,0.68601,0.00000
1980,6,13,293.92667,20.776667185082886,0.67034,0.00000
1980,6,18,294.83254,21.68253985764443,0.75870,0.00000
1980,6,23,295.11099,21.960990270447894,0.72842,0.00000
1980,6,28,295.79612,22.646123597243673,0.96611,0.00000
1980,7,3,296.09170,22.941697841772168,0.76941,0.00000
1980,7,8,296.65682,23.506821242861974,0.88796,0.00000
1980,7,13,297.31451,24.16450660069546,0.96619,0.00000
1980,7,18,297.62469,24.474688024576892,0.89958,0.00000
1980,7,23,296.97193,23.8219274015957,0.67964,0.00000
1980,7,28,297.57955,24.429552552098755,0.72933,0.00000
1980,8,3,297.89997,24.74997066599741,0.74488,0.00000
1980,8,8,298.43156,25.281556678133654,0.70083,0.00000
1980,8,13,298.71127,25.561271849836146,0.55539,0.00000
1980,8,18,298.86757,25.717568812501952,0.72418,0.00000
1980,8,23,298.52806,25.378059316686347,0.53573,0.00000
1980,8,28,298.67029,25.520289704016932,0.38100,0.00000
1980,9,3,298.33408,25.18407987649732,0.32056,0.00000
1980,9,8,298.04602,24.89602093851596,0.36608,0.00000
1980,9,13,298.03720,24.887195123655317,0.39301,0.00000
1980,9,18,297.93097,24.780966556940427,0.35925,0.00000
1980,9,23,297.57892,24.428920667597993,0.40468,0.00000
1980,9,28,297.28945,24.139449156750345,0.44263,0.00000
1980,10,3,296.98941,23.83941405424497,0.49700,0.00000
1980,10,8,296.19018,23.040175525728785,0.57786,0.00000
1980,10,13,295.23996,22.089962121125723,0.41209,0.00000
1980,10,18,294.29124,21.141241201838113,0.37100,0.00000
1980,10,23,293.57767,20.427666362811294,0.37493,0.00000
1980,10,28,293.42591,20.275913437849397,0.36432,0.00000
1980,11,3,292.94218,19.792175483154892,0.49524,0.00000
1980,11,8,292.53127,19.381268962532715,0.54645,0.00000
1980,11,13,291.91646,18.76646200203811,0.45540,0.00000
1980,11,18,291.65854,18.508540172794028,0.33237,0.00000
1980,11,23,291.19932,18.049322993040334,0.34086,0.00000
1980,11,28,290.68793,17.537933832565443,0.61240,0.00000
1980,12,3,289.81022,16.660219739141553,0.33169,0.00000
1980,12,8,289.25811,16.108109827197268,0.31612,0.00000
1980,12,13,288.90931,15.759309373264614,0.45876,0.00000
1980,12,18,288.73680,15.586803552281992,0.44720,0.00000
1980,12,23,288.50251,15.352507724911675,0.23168,0.00000
1980,12,28,288.21229,15.062286093639955,0.46185,0.00000
1981,1,3,287.76832,14.6183246952005,0.24596,0.00000
1981,1,8,287.58855,14.438548482634133,0.33652,0.00000
1981,1,13,287.37768,14.227675772501357,0.40012,0.00000
1981,1,18,287.04934,13.899343464724666,0.22531,0.00000
1981,1,23,286.85807,13.708071849266446,0.23459,0.00000
1981,1,28,286.73261,13.582613510193426,0.23753,0.00000
1981,2,3,286.46317,13.313172714491884,0.25646,0.00000
1981,2,8,286.89120,13.741201141900376,0.28988,0.00000
1981,2,13,286.43001,13.280010628924515,0.37351,0.00000
1981,2,18,286.27794,13.12793785454943,0.34727,0.00000
1981,2,23,286.28637,13.136366498850634,0.26960,0.00000
1981,2,27,286.42991,13.279911615651315,0.27428,0.00000
1981,3,3,286.61898,13.468979176369942,0.44083,0.00000
1981,3,8,286.83805,13.688047944536379,0.49303,0.00000
1981,3,13,287.03242,13.882417209472635,0.47748,0.00000
1981,3,18,287.09144,13.941443326221133,0.38137,0.00000
1981,3,23,287.35723,14.207233987635618,0.36966,0.00000
1981,3,28,287.68591,14.535905866688154,0.43828,0.00000
1981,4,3,287.64791,14.497905767703855,0.38130,0.00000
1981,4,8,287.87480,14.724800857629475,0.59772,0.00000
1981,4,13,288.43018,15.2801785701825,0.52056,0.00000
1981,4,18,288.69588,15.545882642793629,0.45868,0.00000
1981,4,23,288.82049,15.670486760246831,0.51855,0.00000
